uint32 SIZE,uint32 SF,uint32 BAD_WIDTH,uint32 CODE_RATE,uint64 TIMESTAMP,string PHY_PAYLOAD
68,7,125,5,1504883902,40D12B012600004B019FA38E74513220FB81E4C55D283A6D607CB487DCF5F53BCE5D
68,7,125,5,1504883970,40D12B012600014B01D992C87ECACC76A02C6FFD53BCE4817141F31F6745679810CB
68,7,125,5,1504884038,40D12B012600024B01AA4504E96F62A9DFA79A88BD7A009FFA3B7F16724788A35F4D
68,7,125,5,1504884106,40D12B012600034B0164B6AACBA467BFF990115CC3875C621432A695EDA3DF272DD5
68,7,125,5,1504884174,40D12B012600044B010E50B70F536D298DCD4C25ACE9797FD5CAC815DBDDED061B93
68,7,125,5,1504884242,40D12B012600054B01F571D5414F8B1C6748987DB3F60E684AE466D19CA7B7833ABA
68,7,125,5,1504884310,40D12B012600064B0168646B4DB48BD82F69255B7F1D417518A3C20ED5E0FDBB2B40
68,7,125,5,1504884378,40D12B012600074B011DFF9D12CB391BFFBE425537ED57A1767174F98FE7686586C4
68,7,125,5,1504884446,40D12B012600084B01C511D00D083F6A2E158932DE120580687195FB38862D3351FA
68,7,125,5,1504884582,40D12B0126000A4B01F7F3774F71CC52724D5F7D2BF7E497BB5D0D05A975D11CCE31
68,7,125,5,1504884650,40D12B0126000B4B015CA6FD3D651980A1D60F6F8CC9F8020BFD847A17602AC36796
68,7,125,5,1504885058,40D12B012600114B0130F426A683CEFCDF0C8A3C8A7286ADE4048A9EEC2608826177
68,7,125,5,1504885194,40D12B012600134B01047D91BBE44D522B5A6BA76AFEB430FE0FD085309890DA10B7
68,7,125,5,1504885262,40D12B012600144B0134957BE6C358AC8D32C0B00BCD5B7DD9C36C798CE8A33959E5
68,7,125,5,1504885330,40D12B012600154B01493DBA03314BEADAE8C8C604B102A36771EDAF9BC565333BE2
68,7,125,5,1504885398,40D12B012600164B0166831FB36BE9E8EFBEB556C9F0BE129BCE20D6A612FDC8DB8B
68,7,125,5,1504885534,40D12B012600184B01DCB6BFE625ADCDEF21256D3224C914C5C7F3AB20A5C6000C06
68,7,125,5,1504885670,40D12B0126001A4B019385C6C533F1405105DE6E08310A282C11C838F56FF22C5088
68,7,125,5,1504885738,40D12B0126001B4B01D9A58ECA5DF8F6443A29BC230EFFBCB28534AF2911F70F1DAE
68,7,125,5,1504886146,40D12B012600214B01AFC8EE4BB8968F1F6EF1F190DA9279DA34BF6A3F690B9B5DFE
68,7,125,5,1504886281,40D12B012600234B0157EC6712F013A98C902CE95224594B94589CF005F7D9E720D4
68,7,125,5,1504886417,40D12B012600254B01B96EC29C0A0316AD63A98B7E9B5A6E942367338AA7640CEE36
68,7,125,5,1504886485,40D12B012600264B01C8D054B9D456994602F58BED31676D0F6F250EE698C0564F56
68,7,125,5,1504886553,40D12B012600274B01DEC08507D9D95DCC7C8E061EFE13597BF6BDDE13FBE506F79F
68,7,125,5,1504886689,40D12B012600294B015A82B2BF0DAD48973968B2A97999AAD50F2724581CF0F70B63
68,7,125,5,1504887029,40D12B0126002E4B01F54801926F4A5FA99977B2C250D7F799434FB331BBFAD1532A
68,7,125,5,1504887165,40D12B012600304B0157D1DD0281DCD37D044DDC6D85EDCB24E4986637FF703D9FA2
68,7,125,5,1504887233,40D12B012600314B012FCE87D45FD24A06DFC1E91AAE8F84F2FFDB8925B97DCF73DF
68,7,125,5,1504887301,40D12B012600324B01AB00A1B7D68368179FDC3ECF4F34CFB04BB85BDA2ED7575AEA
68,7,125,5,1504887505,40D12B012600354B01C4FAD36EE39A767A4C00555BDBC937EEFE8FE646321C9FB511
68,7,125,5,1504887573,40D12B012600364B01C3F501C834FA4EEEB4A9AD1EA1377B712216F96D9E1E40C025
68,7,125,5,1504887641,40D12B012600374B016024A6F115F1FF09967DE76C8F6227E3CAD092B862DA277855
68,7,125,5,1504887845,40D12B0126003A4B0195E9B57E861C6D8E7C2D0CF31DAFA494299D9205C0010AA02C
68,7,125,5,1504887981,40D12B0126003C4B01C942C9195FE9B399BAA5A2CAC8B6A3453CD2FD53705E500002
68,7,125,5,1504888117,40D12B0126003E4B0152ECE59744677B2DC76B919E2885D5D951DBD1061FE2F3C2E3
68,7,125,5,1504888185,40D12B0126003F4B01A6C12406163C9DCAA537FF471CDAD4B78F73A89D771791E428
68,7,125,5,1504888253,40D12B012600404B0178BF3D30D5C533164CED897069BB1CF49B2AB327A7FA68B87C
68,7,125,5,1504888389,40D12B012600424B013D30FD92B8B1833EDB43FA18A12057261BDDB6F5979C3314EF
68,7,125,5,1504888525,40D12B012600444B01114E6C0A1ED39C508BB0449D8D092C85623FBDB2E5472445EC
68,7,125,5,1504888593,40D12B012600454B01305FECC7B3B80C7386EE42B0AE4E2BB4F0CC9DBBC7EA802D05
68,7,125,5,1504881454,40D12B012600DC4A012B79EDBC832468067C53AD6ED8FC8ADB276051B58B58E3CB05
68,7,125,5,1504881522,40D12B012600DD4A011557819ED84F4F57D890FAEE40203FD7CA8DA1510347CCDB27
68,7,125,5,1504881590,40D12B012600DE4A015A791B4B96C185DAC6B75F817B7A702F1A710CDF80729F641A
68,7,125,5,1504881658,40D12B012600DF4A01512F9933E9F20065065F60B75D04919B25852DE366192502F5
68,7,125,5,1504881726,40D12B012600E04A016C886A3316513EE56B9AFA25DE38ADBF82CBCA1BA3B1B9C2C6
68,7,125,5,1504881794,40D12B012600E14A017930796608B2E026EF0D3ADD81B6A5883EA0BBE96161215821
68,7,125,5,1504881862,40D12B012600E24A01F78064B3CA7AB07BCB7A6C2FAD7E5629CF9D97D604FFDF808C
68,7,125,5,1504881930,40D12B012600E3CEC52F4C41934A6935665E1860ABCFC5D9F0C2C10DCF61744B48F4
68,7,125,5,1504881998,40D12B012600E44A014F712AA523AF5D0BADBC630E58C92B5F5A04CB778A9BB4C0C6
68,7,125,5,1504882066,40D12B012600E54A01699D4D16EAD0D268E01D40A34809733C0851FE52FD14EBCF09
68,7,125,5,1504882202,40D12B012600E74A0158A6D31DC516FE39E9BAA16CFC719A711845BA2693DE6AF95A
68,7,125,5,1504882270,40D12B012600E84A01A1A170756440279BDD739CAD860CF10CACB68B4FC1D98AB7C3
68,7,125,5,1504882338,40D12B012600E94A015371C484BCEA5D915E2C731BCC1D6572D86C930108239A26B4
68,7,125,5,1504882406,40D12B012600EA4A019BC028E29A944EF8213C2CF1F2324C7644273CFC44799B5A1A
68,7,125,5,1504882474,40D12B012600EB4A01A60D3B568041E31069BDE223D5E84F549D9E9B66A711707D40
68,7,125,5,1504882610,40D12B012600ED4A018CAC67F0A3B07FCFA8C83CB2CD055B842209FCB6AD7EC8E46F
68,7,125,5,1504882678,40D12B012600EE4A010989E2BADF8AE2DEE7A82F1DE5212F9B9DCA85554AFE730B0A
68,7,125,5,1504882746,40D12B012600EF4A01F483AF4543D67F1A4DA89D0E56C47B49F788473E9075807417
68,7,125,5,1504882950,40D12B012600F24A019E3D92BD6F3283FB331BCD3AA088622D82132476483478F2B2
68,7,125,5,1504883018,40D12B012600F34A0155DDEED03C453EFA7439FE711045293D085C4FB7BAE2E0E563
68,7,125,5,1504883086,40D12B012600F44A01906E22A596D4DEBA6274A34F874E35ABC56A1C048DBC89FD8E
68,7,125,5,1504883154,40D12B012600F54A01DAC82CA8736C6AD6E0F547C47B4D70F8FD264B17FB5E17EDED
68,7,125,5,1504883290,40D12B012600F74A0145F9178D4D94376A201F187E332CC589521A39F79348FD1A2D
68,7,125,5,1504883426,40D12B012600F94A012E71CC2AFE434303D2CCA8BE01F8985B9D0AEB75CD6406410B
68,7,125,5,1504883494,40D12B012600FA4A0111841323D93FC7FEFB3DE5600A3F4ED1B020847AB4A20B65FD
68,7,125,5,1504883562,40D12B012600FB4A01B1E5E8CB86A56D7724214C2193ED61340E9FED23009B9803C2
68,7,125,5,1504883630,40D12B012600FC4A0150F826E75B1F4CE43AF111CFEB742E07BBDC8CFFEF7227BCE2
68,7,125,5,1504883698,40D12B012600FD4A0174F47EF697F7B9CB3B3DEF33083C0966E27787C231E75A502A
68,7,125,5,1504883766,40D12B012600FE4A01C31B08A5B7E64980D8EABB981A5C3FC13E851A24CA56C5617D
68,7,125,5,1504883834,40D12B012600FF4A01A39906C67082E41EC869FC17CF50F3B625FC793AA484E41503
68,7,125,5,1504883902,40D12B012600004B019FA38E74513220FB81E4C55D283A6D607CB487DCF5F53BCE5D
68,7,125,5,1504883970,40D12B012600014B01D992C87ECACC76A02C6FFD53BCE4817141F31F6745679810CB
68,7,125,5,1504884038,40D12B012600024B01AA4504E96F62A9DFA79A88BD7A009FFA3B7F16724788A35F4D
68,7,125,5,1504884106,40D12B012600034B0164B6AACBA467BFF990115CC3875C621432A695EDA3DF272DD5
68,7,125,5,1504884174,40D12B012600044B010E50B70F536D298DCD4C25ACE9797FD5CAC815DBDDED061B93
68,7,125,5,1504884242,40D12B012600054B01F571D5414F8B1C6748987DB3F60E684AE466D19CA7B7833ABA
68,7,125,5,1504884310,40D12B012600064B0168646B4DB48BD82F69255B7F1D417518A3C20ED5E0FDBB2B40
68,7,125,5,1504884378,40D12B012600074B011DFF9D12CB391BFFBE425537ED57A1767174F98FE7686586C4
68,7,125,5,1504884446,40D12B012600084B01C511D00D083F6A2E158932DE120580687195FB38862D3351FA
68,7,125,5,1504884582,40D12B0126000A4B01F7F3774F71CC52724D5F7D2BF7E497BB5D0D05A975D11CCE31
68,7,125,5,1504884650,40D12B0126000B4B015CA6FD3D651980A1D60F6F8CC9F8020BFD847A17602AC36796
68,7,125,5,1504885058,40D12B012600114B0130F426A683CEFCDF0C8A3C8A7286ADE4048A9EEC2608826177
68,7,125,5,1504885194,40D12B012600134B01047D91BBE44D522B5A6BA76AFEB430FE0FD085309890DA10B7
68,7,125,5,1504885262,40D12B012600144B0134957BE6C358AC8D32C0B00BCD5B7DD9C36C798CE8A33959E5
68,7,125,5,1504885330,40D12B012600154B01493DBA03314BEADAE8C8C604B102A36771EDAF9BC565333BE2
68,7,125,5,1504885398,40D12B012600164B0166831FB36BE9E8EFBEB556C9F0BE129BCE20D6A612FDC8DB8B
68,7,125,5,1504885534,40D12B012600184B01DCB6BFE625ADCDEF21256D3224C914C5C7F3AB20A5C6000C06
68,7,125,5,1504885670,40D12B0126001A4B019385C6C533F1405105DE6E08310A282C11C838F56FF22C5088
68,7,125,5,1504885738,40D12B0126001B4B01D9A58ECA5DF8F6443A29BC230EFFBCB28534AF2911F70F1DAE
68,7,125,5,1504886146,40D12B012600214B01AFC8EE4BB8968F1F6EF1F190DA9279DA34BF6A3F690B9B5DFE
68,7,125,5,1504886281,40D12B012600234B0157EC6712F013A98C902CE95224594B94589CF005F7D9E720D4
68,7,125,5,1504886417,40D12B012600254B01B96EC29C0A0316AD63A98B7E9B5A6E942367338AA7640CEE36
68,7,125,5,1504886485,40D12B012600264B01C8D054B9D456994602F58BED31676D0F6F250EE698C0564F56
68,7,125,5,1504886553,40D12B012600274B01DEC08507D9D95DCC7C8E061EFE13597BF6BDDE13FBE506F79F
68,7,125,5,1504886689,40D12B012600294B015A82B2BF0DAD48973968B2A97999AAD50F2724581CF0F70B63
68,7,125,5,1504887029,40D12B0126002E4B01F54801926F4A5FA99977B2C250D7F799434FB331BBFAD1532A
68,7,125,5,1504887165,40D12B012600304B0157D1DD0281DCD37D044DDC6D85EDCB24E4986637FF703D9FA2
68,7,125,5,1504887233,40D12B012600314B012FCE87D45FD24A06DFC1E91AAE8F84F2FFDB8925B97DCF73DF
68,7,125,5,1504887301,40D12B012600324B01AB00A1B7D68368179FDC3ECF4F34CFB04BB85BDA2ED7575AEA
68,7,125,5,1504887505,40D12B012600354B01C4FAD36EE39A767A4C00555BDBC937EEFE8FE646321C9FB511
68,7,125,5,1504887573,40D12B012600364B01C3F501C834FA4EEEB4A9AD1EA1377B712216F96D9E1E40C025
68,7,125,5,1504887641,40D12B012600374B016024A6F115F1FF09967DE76C8F6227E3CAD092B862DA277855
68,7,125,5,1504887845,40D12B0126003A4B0195E9B57E861C6D8E7C2D0CF31DAFA494299D9205C0010AA02C
68,7,125,5,1504887981,40D12B0126003C4B01C942C9195FE9B399BAA5A2CAC8B6A3453CD2FD53705E500002
68,7,125,5,1504888117,40D12B0126003E4B0152ECE59744677B2DC76B919E2885D5D951DBD1061FE2F3C2E3
68,7,125,5,1504888185,40D12B0126003F4B01A6C12406163C9DCAA537FF471CDAD4B78F73A89D771791E428
68,7,125,5,1504888253,40D12B012600404B0178BF3D30D5C533164CED897069BB1CF49B2AB327A7FA68B87C
68,7,125,5,1504888389,40D12B012600424B013D30FD92B8B1833EDB43FA18A12057261BDDB6F5979C3314EF
68,7,125,5,1504888525,40D12B012600444B01114E6C0A1ED39C508BB0449D8D092C85623FBDB2E5472445EC
68,7,125,5,1504888593,40D12B012600454B01305FECC7B3B80C7386EE42B0AE4E2BB4F0CC9DBBC7EA802D05
68,7,125,5,1504888729,40D12B012600474B0166922C794F5501099DE69F8E4412AD64C776F4CDDECAC1C138
68,7,125,5,1504888797,40D12B012600484B01F15C38FAD8056B652B81179827533AF4E9292B19AD995F91F5
